1,123,100.25,Kumar Patel,65d0b699-3695-44c6-ba23-4a241717dab7,123 Main Street,APPROVED
5054841432289329030,-7254848525355065118,53.26230694432309,sarah1,82cfa5aa-d120-4cdc-9531-d0cc91461a7d,123 Main street,APPROVED
-8747555573791278489,-4677066297611660326,16.655169165981743,sarah1,99c45cc3-86aa-45b1-9c15-cf31e1646971,123 Main street,APPROVED
1765708305198931414,5506035727826339805,95.29448449931002,sarah1,6f47b676-475a-409e-98e7-78c5198005a9,123 Main street,APPROVED
6981761842587569854,-1076029457024182671,28.518809966213745,sarah1,1d1dee0c-617a-4782-99be-9b077fa01005,123 Main street,APPROVED
1607939770970456480,-6329875213812192233,39.147657003478095,sarah1,39386909-49b3-4517-a56e-965042874b44,123 Main street,APPROVED
2106792555810599716,2580262577320380893,67.58022534828781,sarah1,c31c77a0-ba42-43eb-ad45-22c80edf02e9,123 Main street,APPROVED
-5519515407601557270,1719740954035281799,76.7472353496545,sarah1,675a0bee-2103-4a6c-8f46-6221f2b00482,123 Main street,APPROVED
-2992321014155904989,-179758762524915678,29.858527674329093,sarah1,902710f1-e8d4-430f-86a7-d1d6f16d786e,123 Main street,APPROVED
6792329095033951864,-5861809851366426036,56.58333575361594,sarah1,f628bb87-5474-4ddd-97c6-9708aad44181,123 Main street,APPROVED
-3172192895326912406,-5020264037343505279,98.19100782565141,sarah1,2d87c42b-7b8d-43c1-b2cb-7b8534bf78b4,123 Main street,APPROVED
-2790265648883177027,9094975545654805631,19.193874711420953,sarah1,7ffc42d6-24ff-494f-aa22-1eb90733b180,123 Main street,APPROVED
-5001174504369897825,-6014656891783317884,16.198251055798906,sarah1,b977ffac-6113-4223-98fb-6e6dcfd13bee,123 Main street,APPROVED
4240021913977527754,3062123083312755895,83.56602894502191,sarah1,0b211fd0-f938-4db2-80d6-7bf09008ba26,123 Main street,APPROVED
-663330986053735827,726328902002494899,96.90799465635256,sarah1,2d531f6f-4565-4358-b15d-80f5e87634e4,123 Main street,APPROVED
2008110748805123762,1697767226750726034,76.82194011096155,sarah1,15c41a5c-a4fc-46e4-bdda-0768ad5a6252,123 Main street,APPROVED
7792174448316604566,7283846252623861785,92.8380997038,sarah1,f7d7ff6f-4cf8-4fe5-9a12-98eed04f9b06,123 Main street,APPROVED
-5040290924698988615,6611502660754579958,76.40822635868184,sarah1,81b5f574-2074-48ea-bbf7-220f1a61e9d6,123 Main street,APPROVED
5792867925225081994,-2735260093417090546,70.01611425846829,sarah1,8842923c-5dee-4cee-b5f4-e92de3d73d18,123 Main street,APPROVED
7368356889105450692,6725260057415763422,28.778860532976548,sarah1,bff8767c-2131-411c-b9d5-bd9229400243,123 Main street,APPROVED
-4512651921003474974,3065072811406250087,13.773016228261225,sarah1,c786e661-39fb-414b-bd76-0aa435027231,123 Main street,APPROVED
-8411642057910467057,-6626651939237494806,91.1829797704734,sarah1,4ba17ff8-a83e-4047-9b4a-19d49050630c,123 Main street,APPROVED
5532865726601716844,5324463080723158738,42.65558312654073,sarah1,c082e9bc-bfe6-4b0c-a8c4-60fe73c9165a,123 Main street,APPROVED
-2410454778100904584,-4686112718690032366,48.97981581885923,sarah1,6c506375-358b-4db1-b1c0-d856e82b4c45,123 Main street,APPROVED
81484288649815010,7678464711203566575,15.216330739325256,sarah1,fc16c8c2-b535-495f-ae6c-de24f29b3591,123 Main street,APPROVED
7405298097015139775,-3166836381058608434,38.56033578648442,sarah1,adf016a4-ed25-4e97-ad04-d76506603bbe,123 Main street,APPROVED
-1140965327778083719,-5493562285185936376,73.4499641849546,sarah1,628f0e0f-bbd4-4b83-bc4b-43ccd75607d5,123 Main street,APPROVED
2022498572550031997,-8073312398949270200,79.49267985631228,sarah1,eb392206-12e2-4071-b9d3-768ae3614374,123 Main street,APPROVED
3685561535652491723,6559181940838630770,2.7020501214303994,sarah1,b25b4993-94ea-4f32-b2be-df66f6590853,123 Main street,APPROVED
-8783348846139318752,-1344807662647499586,55.225668593291935,sarah1,c4fc53a7-b3e8-4ac4-8092-c5d2bda9ed2d,123 Main street,APPROVED
6057469217814981691,7356903381101495755,81.24272708472967,sarah1,36344244-bde9-4561-92f0-70e96dba384a,123 Main street,APPROVED
5329610729216651591,1202289790243204462,39.19231542433565,sarah1,c9c5e77d-e0b0-4491-9ec2-8a24f5337641,123 Main street,APPROVED
4449119410331467089,1635551159701827285,16.498416562129346,sarah1,59a72c11-ca73-4e99-b8a4-2ea6da44e7c0,123 Main street,APPROVED
-2021492431657899383,-4110204876238681137,29.56291969613456,sarah1,e4e8ba45-665e-47d2-975d-0a3b65cf7b19,123 Main street,APPROVED
-4009047382132471247,714573557855405522,37.978726823299944,sarah1,057ff536-0da8-4bb2-9862-39a608459228,123 Main street,APPROVED
4730471186890770078,-8993529578929758445,77.45531614631935,sarah1,dcfede92-81e6-49c5-93f9-deaaefafbdb3,123 Main street,APPROVED
311421896859022354,7449133861827843033,54.66236155124913,sarah1,46c5b739-015f-4c69-b085-c14a66fcf8eb,123 Main street,APPROVED
3438968420683628196,-6018415094198497816,29.616866358279225,sarah1,3c4b6eea-bd12-426b-a151-cad9536372d5,123 Main street,APPROVED
9128716202167721227,-3231778547727662653,51.34207668047305,sarah1,99aff847-12c9-47cd-a4b0-367aa4673b99,123 Main street,APPROVED
4740463928685350782,-913674393950101973,56.328374536554115,sarah1,94de396b-a975-4268-89c1-dc0899117236,123 Main street,APPROVED
8417786599076010019,8206953257734646739,54.79148412826109,sarah1,e752f6c6-c90b-4d31-b127-f78766e96a5f,123 Main street,APPROVED
7767451023016669029,-8507781131877126181,62.21963825286062,sarah1,a8c06d81-935e-4e2d-b9cc-a9940481ca60,123 Main street,APPROVED
